Second Battle of the Marne,1918.0,49°5′N,3°40′E,France,German Empire
Battle of Chickamauga,1863.0,34°55′03″N,85°15′38″W,United States,Confederate States
Battle of Mosul (2016–2017),2017.0,35°48′01″N,43°17′23″E,Iraq,Islamic State
Battle of Tsushima,1905.0,34°33.98′N,130°9.06′E,Empire of Japan,Russian Empire
Battle of Tippecanoe,1811.0,40°30′25″N,86°50′38″W,Tecumseh's Confederacy,United States
Battle of Grunwald,1410.0,53°29′10″N,20°07′29″E,Sven Ekdahl,
Battle of Mactan,1521.0,NaN,NaN,Battle of Mactan,Spanish Empire
Battle of Bannockburn,1314.0,56°05′36″N,03°56′16″W,Kingdom of Scotland,Kingdom of England
Battle of the Yarmuk,636.0,32°48′51″N,35°57′17″E,Rashidun Caliphate,Byzantine Empire
Battle of Borodino,636.0,55°31′N,35°49′E,Castellón,Russia
Battle of Tannenberg,1914.0,53°29′45″N,20°08′4″E,German Empire,Russian Empire
Battle of Trenton,1776.0,40°13′33″N,74°45′53″W,United States,Hesse-Cassel
Second Battle of Fallujah,2004.0,33°21′N,43°47′E,United States,Al-Qaeda in Iraq
Battle of Ia Drang,1965.0,13°35′N,107°43′E,South Vietnam,North Vietnam
Battle of Gaza (2007),2007.0,NaN,NaN,Hamas,Fatah
Battle,2007.0,NaN,NaN,,
First Battle of El Alamein,1942.0,30°50′29″N,28°56′34″E,Germany,United Kingdom
Battle of the Boyne,1690.0,53°43′23″N,06°25′25″W,Williamites,Jacobites
Battle of Hong Kong,1941.0,NaN,NaN,Canada,Japan
Battle of the Nile,1798.0,31°20′N,30°07′E,Great Britain,France
Battle of Cambrai (1917),3.0,50°10′36″N,03°14′08″E,United States,Germany
Battle of Nicopolis,1396.0,43°42′21″N,24°53′45″E,Moravian Serbia,County of Cilli
Battles of Khalkhin Gol,1939.0,47°43′49″N,118°35′24″E,Soviet Union,Japan
Battle of Appomattox Court House,1865.0,37°22′40″N,78°47′40″W,United States,Confederate States
Battles of the Isonzo,1917.0,NaN,NaN,Kingdom of Italy,Austria-Hungary
Battle of White Mountain,1620.0,50°04′42″N,14°19′10″E,Holy Roman Empire,Bohemian Confederation
Battle of the Philippine Sea,1944.0,NaN,NaN,United States,Japan
Battle of Chancellorsville,30.0,38°18′38″N,77°38′54″W,United States,Confederate States
Battle of Atlanta,1864.0,33°44′45″N,84°20′56″W,United States,Confederate States
Battle of the Trench,627.0,24°29′N,39°35′E,,Confederates
Battle of Fort Sumter,1861.0,32°45′8″N,79°52′29″W,United States,Confederate States
Battle of Aspern-Essling,1809.0,48°12′47″N,16°30′09″E,Austria,France
Naval Battle of Guadalcanal,1942.0,9°11′10″S,159°53′42″E,United States,Japan
Battle of Anzio,1944.0,41°26′35″N,12°37′30″E,United States,Italian Social Republic
Battle of Shanghai,1937.0,31°13′56″N,121°28′08″E,China,Japan
Battle of Surabaya,1945.0,07°15′35″S,112°44′23″E,,United Kingdom
Battle of Tours,732.0,47°23′37″N,0°41′21″E,,Umayyad Caliphate
Battle of Eylau,1807.0,54°24′N,20°38′E,French Empire,Russian Empire
Battle of Dien Bien Phu,13.0,21°23′13″N,103°0′56″E,French Union,Democratic Republic of Vietnam
Battle of Gaugamela,-331.0,36°34′N,43°26′E,Hellenic League,Achaemenid Empire
Battle of Saipan,1944.0,NaN,NaN,United States,Japan
Battle of Varna,1444.0,43°13′N,27°53′E,Ottoman Empire,Kingdom of Poland
Battle of Galicia,1914.0,NaN,NaN,Russian Empire,Austria-Hungary
Battle of Salamis,-480.0,37°57′5″N,23°34′0″E,Greek,Achaemenid Empire
Battle of Manila Bay,1898.0,NaN,NaN,United States,Spain
Battle of San Jacinto,1836.0,29°44′56″N,95°4′49″W,Centralist Republic of Mexico,Republic of Texas
Battle of the Wilderness,1864.0,NaN,NaN,United States,Confederate States
Battle of Changsha (1941–1942),1942.0,NaN,NaN,Republic of China,Empire of Japan
Battle of Mohács,1526.0,NaN,NaN,,Kingdom of Hungary
Battle of Leyte,1944.0,11°10′20″N,125°00′44″E,Allies,Axis
Battle of Attu,1943.0,NaN,NaN,United States,Japan
Battle of Loos,1915.0,50°27′30″N,02°47′39″E,Capture of Baghdad,German Empire
Battle of Cold Harbor,31.0,37°35′N,77°17′W,United States,Confederate States
Battle of the Java Sea,1942.0,NaN,NaN,Netherlands,Japan
Battle of Zaoyang–Yichang,3.0,NaN,NaN,Republic of China,Empire of Japan
Battle of Vitoria,1813.0,42°51′N,2°41′W,Castellón,Portugal
Battle of South Shanxi,6.0,NaN,NaN,National Revolutionary Army,North China Front Army
Battle of Tannenberg Line,1944.0,59°22′32″N,27°51′17″E,Germany,Soviet Union
Battle of Crete,1941.0,NaN,NaN,New Zealand,Germany
Battle of the Lys (1918),1918.0,50°42′20″N,2°54′00″E,Capture of Baghdad,Germany
Battle of the Catalaunian Plains,451.0,49°00′N,4°30′E,Western Roman Empire,
