longitude,latitude
2.1416666666666666,50.46361111111111
38.766666666666666,23.733333333333334
44.03138888888889,32.61527777777778
-1.4102777777777777,52.59111111111111
32.95,40.15
39.61666666666667,24.5
1.8877777777777778,50.256388888888885
42.53916666666667,39.14472222222222
39.2925,25.698611111111113
20.12472222222222,53.486111111111114
-3.937777777777778,56.093333333333334
35.95472222222222,32.814166666666665
35.81666666666667,55.516666666666666
24.895833333333332,43.70583333333334
39.583333333333336,24.483333333333334
0.6891666666666667,47.39361111111111
27.883333333333333,43.21666666666667
35.44444444444444,32.80361111111111
-6.525,53.28
-3.5827777777777774,38.28444444444444
40.35,21.433333333333334
-3.76,55.987500000000004
16.222777777777775,51.14527777777778
0.38333333333333336,46.53333333333333
22.176111111111112,43.180277777777775
-1.5933333333333335,54.7725
-0.2,51.66222222222222
27.745,46.605000000000004
44.5,31.583333333333332
23.0175,41.362500000000004
-0.33888888888888885,51.74861111111111
,51.755
-5.614999999999999,36.044999999999995
-1.9461111111111111,52.10805555555556
19.4,45.25
44.516666666666666,41.68333333333333
20.533333333333335,41.516666666666666
20.533333333333335,41.516666666666666
-8.76,39.169999999999995
-4.867777777777778,55.7925
27.131944444444446,43.386944444444445
40.02222222222222,39.97361111111111
-2.9166666666666665,55.016666666666666
-5.055555555555555,43.30888888888889
18.433333333333334,42.86666666666667
16.376944444444444,45.04805555555556
34.558055555555555,31.670555555555556
,
-8.615,54.35611111111111
-4.0,38.95277777777778
0.8166666666666667,50.88333333333333
30.533333333333335,38.75
-3.5666666666666664,56.36666666666667
-4.687777777777778,56.42361111111111
-5.180277777777778,56.41305555555555
,
-1.3958333333333333,54.096944444444446
,
1.6958333333333333,48.04833333333333
37.233333333333334,34.233333333333334
1.7491666666666668,50.161944444444444
-6.116666666666666,56.65
,
32.483333333333334,37.86666666666667
36.38,35.415
41.675555555555555,39.97972222222222
37.0575,35.99583333333334
0.48305555555555557,44.85944444444445
,
36.165,36.58166666666667
-1.0802777777777777,53.958333333333336
21.35,56.595
,
-1.3408333333333333,54.095555555555556
-3.4299999999999997,56.4
-2.8380555555555556,52.25888888888889
,
-0.5386111111111112,53.235
-2.3519444444444444,55.769999999999996
,
8.908611111111112,45.60333333333333
,
-3.0719444444444446,54.986111111111114
-5.083333333333333,37.53333333333333
37.0,36.56666666666667
66.90972222222223,39.29388888888889
-3.0,55.15
27.0,40.5
29.15611111111111,40.431666666666665
-3.786111111111111,37.33888888888889
-2.7,42.427499999999995
,
90.9,45.2
-2.0169444444444444,54.97416666666667
-0.7277777777777777,48.765277777777776
10.1,44.68333333333333
,
76.93333333333334,29.783333333333335
39.72777777777778,24.489444444444445
25.618333333333332,45.286944444444444
-4.651111111111112,57.700833333333335
,
1.8530555555555557,50.95805555555556
-0.5361111111111111,52.68611111111111
-1.273611111111111,53.712500000000006
-4.516666666666667,57.583333333333336
43.15277777777778,36.35944444444445
-2.294722222222222,55.756388888888885
10.316666666666666,36.85
28.098055555555554,41.111111111111114
,
,
30.783333333333335,48.65833333333333
41.675555555555555,39.97972222222222
36.461666666666666,33.58388888888889
-4.45,58.43333333333333
111.7,36.56666666666667
-3.5166666666666666,58.483333333333334
37.18833333333333,38.20138888888889
-4.559722222222222,57.94166666666666
-3.1461111111111113,58.41166666666666
1.3333333333333333,43.46666666666667
24.739444444444445,59.43527777777778
0.5666666666666667,51.55
9.129444444444445,35.22972222222222
-5.179722222222223,56.92055555555555
-5.0,57.0
-2.1005555555555557,55.02027777777778
-4.259722222222222,57.48833333333334
28.890277777777776,41.03055555555555
-3.9166666666666665,56.06666666666667
36.93333333333333,37.583333333333336
27.341944444444444,37.941111111111105
,
31.736944444444447,54.02833333333333
26.228888888888886,47.425
13.252777777777778,43.713055555555556
,
-3.0847222222222226,58.475
44.24,33.82333333333334
-3.1333333333333333,37.3
-3.193333333333333,56.117222222222225
76.93333333333334,29.783333333333335
26.45,42.916666666666664
112.78999999999999,34.72694444444445
-8.07861111111111,53.99638888888889
27.65,42.55
24.77138888888889,55.16583333333333
66.9,39.8
23.839444444444442,58.69444444444444
10.2,54.06666666666667
8.044166666666667,49.5925
26.504722222222224,58.0575
69.0,35.0
1.9783333333333335,50.855555555555554
16.151666666666664,41.296388888888885
-1.2277777777777779,46.15833333333333
,
44.345,32.39333333333333
1.8505555555555557,49.535
-4.621111111111111,52.096111111111114
40.07916666666667,36.840833333333336
-4.561944444444444,55.93722222222222
9.216666666666667,45.61666666666667
21.440555555555555,56.23638888888889
139.14027777777778,35.221111111111114
,
-3.461666666666667,52.151944444444446
64.75,35.93333333333333
7.283333333333333,46.916666666666664
,
-0.6066666666666667,45.04138888888889
46.19305555555555,37.01166666666666
11.083333333333334,44.5
,
20.460277777777776,54.871944444444445
77.23083333333334,28.654444444444444
-19.281944444444445,65.50111111111111
135.79972222222221,34.88444444444444
45.083333333333336,32.916666666666664
-0.65,45.833333333333336
,
,
78.46722222222222,28.904444444444444
-6.405,54.00888888888889
75.33333333333333,33.266666666666666
8.85,45.55
7.483333333333333,44.31666666666667
2.4883333333333333,50.800555555555555
64.07111111111111,39.661944444444444
,
71.5675,34.01444444444444
78.36694444444444,27.106944444444444
25.59611111111111,58.35944444444445
-8.750555555555556,53.31444444444444
23.173333333333336,58.5825
1.3725,52.80416666666667
43.233333333333334,41.016666666666666
41.6,39.9
,
10.41388888888889,45.483333333333334
21.133333333333333,55.7
17.811111111111114,53.356944444444444
-0.34638888888888886,46.11638888888889
2.216666666666667,51.28333333333333
,
10.633333333333333,43.666666666666664
8.383333333333333,45.63333333333333
